"County","State","Trump_Votes","Trump_Percent","Biden_Votes","Biden_Percent","Other_Votes","Other_Percent","Total_Votes"
"Autauga","Alabama",19838,71.44,7503,27.02,429,1.54,27770
"Baldwin","Alabama",83544,76.17,24578,22.41,1557,1.42,109679
"Barbour","Alabama",5622,53.45,4816,45.79,80,0.76,10518
"Bibb","Alabama",7525,78.43,1986,20.7,84,0.87,9595
"Blount","Alabama",24711,89.57,2640,9.57,237,0.86,27588
"Bullock","Alabama",1146,24.84,3446,74.7,21,0.46,4613
"Butler","Alabama",5458,57.53,3965,41.79,65,0.68,9488
"Calhoun","Alabama",35101,68.85,15216,29.85,666,1.3,50983
"Chambers","Alabama",8753,57.27,6365,41.64,166,1.09,15284
"Cherokee","Alabama",10583,86.03,1624,13.2,94,0.77,12301
"Chilton","Alabama",16085,83.3,3073,15.91,152,0.79,19310
"Choctaw","Alabama",4296,57.56,3127,41.89,41,0.55,7464
"Clarke","Alabama",7324,55.76,5755,43.81,56,0.43,13135
"Clay","Alabama",5601,80.82,1267,18.28,62,0.9,6930
"Cleburne","Alabama",6484,89.72,675,9.34,68,0.94,7227
"Coffee","Alabama",16899,75.87,5076,22.79,300,1.34,22275
"Colbert","Alabama",19203,68.86,8343,29.92,340,1.22,27886
"Conecuh","Alabama",3442,53.44,2966,46.05,33,0.51,6441
"Coosa","Alabama",3631,66.27,1796,32.78,52,0.95,5479
"Covington","Alabama",14586,83.68,2721,15.61,123,0.71,17430
"Crenshaw","Alabama",4864,73.51,1700,25.69,53,0.8,6617
"Cullman","Alabama",36880,88.12,4478,10.7,493,1.18,41851
"Dale","Alabama",14303,72.46,5170,26.19,265,1.35,19738
"Dallas","Alabama",5524,30.92,12230,68.46,110,0.62,17864
"DeKalb","Alabama",24767,84.37,4281,14.58,308,1.05,29356
"Elmore","Alabama",30164,73.52,10367,25.27,499,1.21,41030
"Escambia","Alabama",10869,68.32,4918,30.91,123,0.77,15910
"Etowah","Alabama",35528,74.44,11567,24.24,633,1.32,47728
"Fayette","Alabama",7300,83.28,1395,15.91,71,0.81,8766
"Franklin","Alabama",10376,82.49,2086,16.58,116,0.93,12578
"Geneva","Alabama",10848,86.47,1595,12.71,102,0.82,12545
"Greene","Alabama",875,18.32,3884,81.34,16,0.34,4775
"Hale","Alabama",3192,40.41,4663,59.03,45,0.56,7900
"Henry","Alabama",6607,71.06,2606,28.03,85,0.91,9298
"Houston","Alabama",32618,70.64,12917,27.98,638,1.38,46173
"Jackson","Alabama",19670,83.22,3717,15.73,249,1.05,23636
"Jefferson","Alabama",138843,42.61,181688,55.76,5317,1.63,325848
"Lamar","Alabama",6174,85.83,978,13.6,41,0.57,7193
"Lauderdale","Alabama",31721,71.54,11915,26.87,703,1.59,44339
"Lawrence","Alabama",12322,76.86,3562,22.22,147,0.92,16031
"Lee","Alabama",42221,59.09,27860,38.99,1368,1.92,71449
"Limestone","Alabama",34640,70.36,13672,27.77,923,1.87,49235
"Lowndes","Alabama",1836,26.86,4972,72.74,27,0.4,6835
"Macon","Alabama",1541,17.67,7108,81.49,74,0.84,8723
"Madison","Alabama",102780,52.77,87286,44.82,4701,2.41,194767
"Marengo","Alabama",5343,49.02,5488,50.35,69,0.63,10900
"Marion","Alabama",12205,88.4,1463,10.6,139,1,13807
"Marshall","Alabama",33191,83.7,5943,14.99,521,1.31,39655
"Mobile","Alabama",101243,55.27,79474,43.39,2447,1.34,183164
"Monroe","Alabama",6147,57.62,4455,41.76,66,0.62,10668
"Montgomery","Alabama",33311,33.6,64529,65.09,1299,1.31,99139
"Morgan","Alabama",39664,73.83,13234,24.63,824,1.54,53722
"Perry","Alabama",1339,25.6,3860,73.8,31,0.6,5230
"Pickens","Alabama",5594,57.86,4022,41.6,52,0.54,9668
"Pike","Alabama",8042,58.1,5636,40.72,163,1.18,13841
"Randolph","Alabama",8559,78.98,2203,20.33,75,0.69,10837
"Russell","Alabama",9864,46.25,11228,52.64,237,1.11,21329
"Shelby","Alabama",79700,69.33,33268,28.94,1982,1.73,114950
"St. Clair","Alabama",36166,81.38,7744,17.43,531,1.19,44441
"Sumter","Alabama",1598,25.4,4648,73.88,45,0.72,6291
"Talladega","Alabama",22235,62.35,13138,36.84,290,0.81,35663
"Tallapoosa","Alabama",14963,71.28,5859,27.91,169,0.81,20991
"Tuscaloosa","Alabama",51117,56.69,37765,41.88,1290,1.43,90172
"Walker","Alabama",26002,83.42,4834,15.51,334,1.07,31170
"Washington","Alabama",6564,73.95,2258,25.44,54,0.61,8876
"Wilcox","Alabama",1833,31.05,4048,68.58,22,0.37,5903
"Winston","Alabama",10195,90.35,974,8.63,115,1.02,11284
"270 to Win","Alaska",49.4,NA,43.8,NA,6.8,NA,100
"FiveThirtyEight","Alaska",51.2,NA,43.6,NA,5.2,NA,100
"Average","Alaska",50.3,NA,43.7,NA,6,NA,100
"Apache","Arizona",11442,32.44,23293,66.05,533,1.51,35268
"Cochise","Arizona",35557,58.61,23732,39.12,1376,2.27,60665
"Coconino","Arizona",27052,36.74,44698,60.7,1882,2.56,73632
"Gila","Arizona",18377,66.26,8943,32.24,415,1.5,27735
"Graham","Arizona",10749,71.52,4034,26.84,246,1.64,15029
"Greenlee","Arizona",2433,65.83,1182,31.98,81,2.19,3696
"La Paz","Arizona",5129,68.64,2236,29.93,107,1.43,7472
"Maricopa","Arizona",995665,47.96,1040774,50.13,39647,1.91,2076086
"Mohave","Arizona",78535,74.88,24831,23.67,1517,1.45,104883
"Navajo","Arizona",27657,53.26,23383,45.03,890,1.71,51930
"Pima","Arizona",207758,39.79,304981,58.41,9435,1.81,522174
"Pinal","Arizona",107077,57.72,75106,40.48,3342,1.8,185525
"Santa Cruz","Arizona",6194,31.63,13138,67.1,249,1.27,19581
"Yavapai","Arizona",91527,63.72,49602,34.53,2511,1.75,143640
"Yuma","Arizona",36534,52.14,32210,45.97,1328,1.9,70072
"Arkansas","Arkansas",4304,68.4,1818,28.89,170,2.71,6292
"Ashley","Arkansas",5548,70,2125,26.81,253,3.19,7926
"Baxter","Arkansas",15836,75.38,4635,22.06,536,2.56,21007
"Benton","Arkansas",73965,61.68,42249,35.23,3698,3.09,119912
"Boone","Arkansas",13652,79.77,3064,17.9,398,2.33,17114
"Bradley","Arkansas",2335,63.9,1214,33.22,105,2.88,3654
"Calhoun","Arkansas",1636,74.98,479,21.95,67,3.07,2182
"Carroll","Arkansas",7424,62.93,4023,34.1,350,2.97,11797
"Chicot","Arkansas",1752,42.7,2260,55.08,91,2.22,4103
"Clark","Arkansas",4616,54.99,3438,40.95,341,4.06,8395
"Clay","Arkansas",4086,78.83,962,18.56,135,2.61,5183
"Cleburne","Arkansas",10328,81.45,1988,15.68,364,2.87,12680
"Cleveland","Arkansas",2867,79.64,651,18.08,82,2.28,3600
"Columbia","Arkansas",5500,63.83,2814,32.66,302,3.51,8616
"Conway","Arkansas",5694,65.56,2615,30.11,376,4.33,8685
"Craighead","Arkansas",25558,66.37,11921,30.95,1032,2.68,38511
"Crawford","Arkansas",18607,77.24,4959,20.58,525,2.18,24091
"Crittenden","Arkansas",7333,44.8,8514,52.02,520,3.18,16367
"Cross","Arkansas",4946,71.25,1772,25.53,224,3.22,6942
"Dallas","Arkansas",1573,59.38,963,36.35,113,4.27,2649
"Desha","Arkansas",1921,46.13,2016,48.41,227,5.46,4164
"Drew","Arkansas",4349,62.96,2426,35.12,133,1.92,6908
"Faulkner","Arkansas",34421,63.24,18347,33.71,1660,3.05,54428
"Franklin","Arkansas",5677,79.63,1300,18.24,152,2.13,7129
"Fulton","Arkansas",3961,77.38,1035,20.22,123,2.4,5119
"Garland","Arkansas",29069,65.77,14045,31.78,1085,2.45,44199
"Grant","Arkansas",6794,82.85,1268,15.46,138,1.69,8200
"Greene","Arkansas",12670,78.7,3058,18.99,372,2.31,16100
"Hempstead","Arkansas",4470,65.27,2138,31.22,240,3.51,6848
"Hot Spring","Arkansas",9202,73.28,3082,24.54,273,2.18,12557
"Howard","Arkansas",3367,69.65,1340,27.72,127,2.63,4834
"Independence","Arkansas",11250,77.52,2806,19.34,456,3.14,14512
"Izard","Arkansas",4631,79.71,1021,17.57,158,2.72,5810
"Jackson","Arkansas",3593,70.58,1365,26.81,133,2.61,5091
"Jefferson","Arkansas",9521,37.84,14981,59.55,656,2.61,25158
"Johnson","Arkansas",6938,73.05,2283,24.04,277,2.91,9498
"Lafayette","Arkansas",1757,65.58,839,31.32,83,3.1,2679
"Lawrence","Arkansas",4569,78.01,1080,18.44,208,3.55,5857
"Lee","Arkansas",1286,45.15,1423,49.96,139,4.89,2848
"Lincoln","Arkansas",2729,70.43,1032,26.63,114,2.94,3875
"Little River","Arkansas",3715,71.76,1226,23.68,236,4.56,5177
"Logan","Arkansas",6441,78.31,1544,18.77,240,2.92,8225
"Lonoke","Arkansas",22884,74.63,6686,21.81,1092,3.56,30662
"Madison","Arkansas",5658,76.97,1563,21.26,130,1.77,7351
"Marion","Arkansas",5783,77.08,1531,20.41,189,2.51,7503
"Miller","Arkansas",11920,72.12,4245,25.68,364,2.2,16529
"Mississippi","Arkansas",7296,59.12,4558,36.93,488,3.95,12342
"Monroe","Arkansas",1545,54.87,1147,40.73,124,4.4,2816
"Montgomery","Arkansas",3046,78.65,731,18.87,96,2.48,3873
"Nevada","Arkansas",2133,63.52,1076,32.04,149,4.44,3358
"Newton","Arkansas",3192,79.84,709,17.73,97,2.43,3998
"Ouachita","Arkansas",5294,54.98,3995,41.49,340,3.53,9629
"Perry","Arkansas",3479,75.19,1012,21.87,136,2.94,4627
"Phillips","Arkansas",2417,38.72,3623,58.04,202,3.24,6242
"Pike","Arkansas",3519,82.88,644,15.17,83,1.95,4246
"Poinsett","Arkansas",5918,78.69,1424,18.93,179,2.38,7521
"Polk","Arkansas",7035,82.86,1246,14.68,209,2.46,8490
"Pope","Arkansas",18081,74.01,5772,23.62,579,2.37,24432
"Prairie","Arkansas",2786,79.71,654,18.71,55,1.58,3495
"Pulaski","Arkansas",63687,37.47,101947,59.98,4322,2.55,169956
"Randolph","Arkansas",5355,78.61,1215,17.84,242,3.55,6812
"St. Francis","Arkansas",3242,45.61,3604,50.7,262,3.69,7108
"Saline","Arkansas",39556,69.45,16060,28.2,1343,2.35,56959
"Scott","Arkansas",2962,83.41,483,13.6,106,2.99,3551
"Searcy","Arkansas",3365,83.73,588,14.63,66,1.64,4019
"Sebastian","Arkansas",31198,66.18,14487,30.73,1455,3.09,47140
"Sevier","Arkansas",3884,74.66,1116,21.45,202,3.89,5202
"Sharp","Arkansas",5938,78.48,1398,18.48,230,3.04,7566
"Stone","Arkansas",4616,77.74,1180,19.87,142,2.39,5938
"Union","Arkansas",10478,63.09,5584,33.62,545,3.29,16607
"Van Buren","Arkansas",6034,77.29,1593,20.4,180,2.31,7807
"Washington","Arkansas",47504,50.39,43824,46.49,2938,3.12,94266
"White","Arkansas",24182,78.3,5978,19.36,725,2.34,30885
"Woodruff","Arkansas",1543,62.32,856,34.57,77,3.11,2476
"Yell","Arkansas",5226,77.53,1284,19.05,231,3.42,6741
"Alameda","California",136309,17.62,617659,79.83,19785,2.55,773753
"Alpine","California",244,32.71,476,63.81,26,3.48,746
"Amador","California",13585,60.66,8153,36.4,659,2.94,22397
"Butte","California",48819,47.6,50815,49.54,2931,2.86,102565
"Calaveras","California",16518,60.57,10046,36.84,708,2.59,27272
"Colusa","California",4559,57.27,3239,40.69,163,2.04,7961
"Contra Costa","California",152877,26.3,416386,71.63,12053,2.07,581316
"Del Norte","California",6461,56.41,4677,40.84,315,2.75,11453
"El Dorado","California",61838,53.24,51621,44.44,2700,2.32,116159
"Fresno","California",164464,45.07,193025,52.9,7428,2.03,364917
"Glenn","California",7063,62.52,3995,35.36,239,2.12,11297
"Humboldt","California",21770,31.36,44768,64.48,2886,4.16,69424
"Imperial","California",20847,36.74,34678,61.11,1218,2.15,56743
"Inyo","California",4620,48.71,4634,48.86,230,2.43,9484
