Agency,Mode,Fuel,State,Total_Energy,Total_Emissions_kg,Total_Emissions_lb,UPT,MILES
MTA New York City Transit,Heavy Rail,Electric Propulsion,NY,1546269600,366118755703.93085,807152731200,2632003044,9591253658
Washington Metropolitan Area Transit Authority,Heavy Rail,Electric Propulsion,DC,499328277,192518001038.72778,424429035450,231023784,912604948
MTA Long Island Rail Road,Commuter Rail,Electric Propulsion,NY,548190400,129798055356.47868,286155388800,83835706,2033685836
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",Commuter Rail,Electric Propulsion,NY,405036564,95902734443.124,211429086408,66645285,1150894931
New Jersey Transit Corporation,Commuter Rail,Electric Propulsion,NJ,365911929,85975079252.66032,189542379222,198590133,2314384007
Chicago Transit Authority,Heavy Rail,Electric Propulsion,IL,339757455,80446240853.299,177353391510.00003,279146501,1090677628
Southeastern Pennsylvania Transportation Authority,Commuter Rail,Electric Propulsion,PA,204899285,60876265150.00318,134209031675,197264920,834809485
Massachusetts Bay Transportation Authority,Heavy Rail,Electric Propulsion,MA,135803120,56856183723.27204,125346279760,234975556,1103417623
Southeastern Pennsylvania Transportation Authority,Heavy Rail,Electric Propulsion,PA,115833983,34414665051.11993,75871258865,197264920,834809485
Metropolitan Atlanta Rapid Transit Authority,Heavy Rail,Electric Propulsion,GA,77059623,25621061071.295734,56484703659,62093037,352115956
Port Authority Trans-Hudson Corporation,Heavy Rail,Electric Propulsion,NY,98060829,23218401691.901554,51187752738,55108860,268404831
County of Miami-Dade,Heavy Rail,Electric Propulsion,FL,64091351,23082677601.582134,50888532694,77961885,414128978
Massachusetts Bay Transportation Authority,Light Rail,Electric Propulsion,MA,44642884,18690469074.942623,41205381932,234975556,1103417623
Maryland Transit Administration,Heavy Rail,Electric Propulsion,MD,46777982,11839733811.722656,26102113956,57907024,343206699
Metro Transit,Light Rail,Electric Propulsion,MN,30179186,10964940890.4936,24173527986,44977111,175173901
Port Authority Transit Corporation,Heavy Rail,Electric Propulsion,NJ,37581452,8830180319.510847,19467192136.000004,5451983,47004510
New Jersey Transit Corporation,Light Rail,Electric Propulsion,NJ,36636308,8608108220.010706,18977607544,198590133,2314384007
Tri-County Metropolitan Transportation District of Oregon,Light Rail,Electric Propulsion,OR,51428218,8024651410.220356,17691306992,57442650,231430380
Northern Indiana Commuter Transportation District,Commuter Rail,Electric Propulsion,IN,11106350,7541529129.736645,16626205950,1526836,49941941
The Greater Cleveland Regional Transit Authority,Heavy Rail,Electric Propulsion,OH,15807213,7485521483.067377,16502730372,22415370,102838552
Pittsburgh Regional Transit,Light Rail,Electric Propulsion,PA,25129142,7465952413.567872,16459588010,37908532,155119545
Southeastern Pennsylvania Transportation Authority,Streetcar,Electric Propulsion,PA,21411071,6361301042.8101,14024251505,197264920,834809485
Maryland Transit Administration,Light Rail,Electric Propulsion,MD,24878007,6296744067.458338,13881927906,57907024,343206699
Staten Island Rapid Transit Operating Authority,Heavy Rail,Electric Propulsion,NY,24130949,5713617484.192287,12596355378,5194599,30544924
Central Puget Sound Regional Transit Authority,Light Rail,Electric Propulsion,WA,40633197,5381831573.69524,11864893523.999998,37571636,346306031
Maryland Transit Administration,Commuter Rail,Electric Propulsion,MD,20636077,5223091038.818481,11514930966,57907024,343206699
Alternativa de Transporte Integrado,Heavy Rail,Electric Propulsion,PR,5711384,4663157913.835491,10280491200,3732115,15671639
The Greater Cleveland Regional Transit Authority,Light Rail,Electric Propulsion,OH,8931099,4229330839.781913,9324067356,22415370,102838552
Pennsylvania Department of Transportation,Commuter Rail,Electric Propulsion,PA,14204836,4220304442.4889555,9304167580,530252,33974346
City of Charlotte North Carolina,Light Rail,Electric Propulsion,NC,11980088,3472379018.6063814,7655276232,14027141,67531449
County of Miami-Dade,Monorail / Automated Guideway,Electric Propulsion,FL,6602012,2377732909.9799514,5241997528,77961885,414128978
Indianapolis and Marion County Public Transportation,Rapid Bus,Electric Battery,IN,3201903,2174183664.7585526,4793248791,6888880,35204901
Niagara Frontier Transportation Authority,Light Rail,Electric Propulsion,NY,8174000,1935402926.581452,4266828000,14531216,46252415
Southeastern Pennsylvania Transportation Authority,Trolley Bus,Electric Propulsion,PA,6054170,1798714222.8592684,3965481350,197264920,834809485
King County,Trolley Bus,Electric Propulsion,WA,13113330,1736849144.07018,3829092359.9999995,78886848,301530502
Connecticut Department of Transportation,Commuter Rail,Electric Propulsion,CT,5991608,1565424521.2326841,3451166208,495143,14795283
County of Miami-Dade,Motor Bus,Electric Battery,FL,2857902,1029281321.9511753,2269174188,77961885,414128978
Greater Dayton Regional Transit Authority,Trolley Bus,Electric Propulsion,OH,2003093,948566688.1367311,2091229092,6578178,42234501
Transportation District Commission of Hampton Roads,Light Rail,Electric Propulsion,VA,3185411,858258626.8835447,1892134134,7167154,36797144
West Virginia University,Monorail / Automated Guideway,Electric Propulsion,WV,968750,845879902.2053688,1864843750,1600303,2890640
County of Miami-Dade,Motor Bus,C Natural Gas,FL,6450609,779556097.65,1718624964.0011427,77961885,414128978
District Department of Transportation,Streetcar,Electric Propulsion,DC,1558727,600973387.7040035,1324917950,2591448,3903496
Metropolitan Atlanta Rapid Transit Authority,Motor Bus,C Natural Gas,GA,4914819,593955876.15,1309447003.6778128,62093037,352115956
MTA New York City Transit,Motor Bus,C Natural Gas,NY,4740687,572912023.9499999,1263053306.2406487,2632003044,9591253658
MTA New York City Transit,Motor Bus,Diesel Fuel,NY,24981101,560825717.4499999,1236407593.2046187,2632003044,9591253658
Charleston Area Regional Transportation Authority,Motor Bus,Electric Battery,SC,1992960,504427828.8321797,1112071680,2230900,12721462
Washington Metropolitan Area Transit Authority,Motor Bus,C Natural Gas,DC,4121831,498123276.34999996,1098172537.5067368,231023784,912604948
New Jersey Transit Corporation,Motor Bus,Diesel Fuel,NJ,21539346,483558317.7,1066062338.3677739,198590133,2314384007
Massachusetts Bay Transportation Authority,Rapid Bus,Electric Propulsion,MA,1099315,460246094.5650498,1014667745,234975556,1103417623
District Department of Transportation,Motor Bus,Electric Battery,DC,1146187,441916951.67421144,974258950,2591448,3903496
City of Charlotte North Carolina,Streetcar,Electric Propulsion,NC,1483914,430106343.0432456,948221046,14027141,67531449
Transportation District Commission of Hampton Roads,Motor Bus,Electric Battery,VA,1547280,416890130.72547656,919084320,7167154,36797144
County of Nassau,Motor Bus,C Natural Gas,NY,3406655,411694256.75,907629392.3161849,20293586,112757303
Jacksonville Transportation Authority,Monorail / Automated Guideway,Electric Propulsion,FL,1136887,409453002.33146757,902688278,6678105,36776548
City of Greensboro,Motor Bus,Electric Battery,NC,1366471,396065974.63508457,873174969.0000001,2263152,9475305
City of Portland,Streetcar,Electric Propulsion,OR,2497870,389757545.5180485,859267280.0000001,3692695,4413873
Central Florida Regional Transportation Authority,Motor Bus,C Natural Gas,FL,2913232,352064087.2,776167527.922864,18418220,111018391
King County,Motor Bus,Electric Battery,WA,2411807,319441737.8051547,704247644,78886848,301530502
New Jersey Transit Corporation,Commuter Rail,Diesel Fuel,NJ,14099532,316534493.4,697838274.8395079,198590133,2314384007
Washington State Ferries,Ferry Boat,Diesel Fuel,WA,14012522,314581118.9,693531826.3493179,18241119,131769108
Chicago Transit Authority,Motor Bus,Diesel Fuel,IL,13573058,304715152.09999996,671781118.6227019,279146501,1090677628
Delaware Transit Corporation,Motor Bus,Electric Battery,DE,612526,304232008.2372473,670715970,7629486,49897548
The Greater Cleveland Regional Transit Authority,Motor Bus,C Natural Gas,OH,2497389,301809460.65,665375173.1382029,22415370,102838552
Central Ohio Transit Authority,Motor Bus,C Natural Gas,OH,2471404,298669173.4,658452033.0611079,11526490,51281571
Massachusetts Bay Transportation Authority,Commuter Rail,Diesel Fuel,MA,12940342,290510677.9,640465650.71189785,234975556,1103417623
King County,Streetcar,Electric Propulsion,WA,2122439,281115198.0840236,619752188,78886848,301530502
Hillsborough Area Regional Transit Authority,Streetcar,Electric Propulsion,FL,748585,269604961.3992434,594376490,12574593,53491817
University of Georgia,Motor Bus,Electric Battery,GA,789143,262377107.61945373,578441819,2941019,3512275
City of Tallahassee,Motor Bus,Electric Battery,FL,691172,248927510.4099573,548790568,2588477,10140885
MTA Bus Company,Motor Bus,C Natural Gas,NY,2038747,246382574.95,543179952.386269,119571794,347970662
Milwaukee County,Motor Bus,Electric Battery,WI,464119,241678208.4894449,532808612,22735042,75456856
City of Alexandria,Motor Bus,Electric Battery,VA,891492,240198423.3110468,529546247.99999994,4580105,10493813
City of Knoxville,Motor Bus,Electric Battery,TN,689098,223487526.19499055,492705070,2312188,7161127
Southeastern Pennsylvania Transportation Authority,Motor Bus,Diesel Fuel,PA,9498681,213245388.45,470125048.28463894,197264920,834809485
MTA Bus Company,Motor Bus,Diesel Fuel,NY,9224121,207081516.45,456536052.79599893,119571794,347970662
City of Memphis,Streetcar,Electric Propulsion,TN,632100,205001995.80880153,451951500,2819588,14475117
City of Charlotte North Carolina,Motor Bus,Electric Battery,NC,656290,190222945.45091674,419369310,14027141,67531449
Massachusetts Bay Transportation Authority,Motor Bus,C Natural Gas,MA,1555699,188006224.15,414482281.88557297,234975556,1103417623
Jacksonville Transportation Authority,Motor Bus,C Natural Gas,FL,1503650,181716102.5,400614953.89355,6678105,36776548
Chelan Douglas PTBA,Motor Bus,Electric Battery,WA,1341349,177660507.4797471,391673908,1113038,9761540
Washington Metropolitan Area Transit Authority,Motor Bus,Diesel Fuel,DC,7881289,176934938.04999998,390074303.1237909,231023784,912604948
Pioneer Valley Transit Authority,Motor Bus,Electric Battery,MA,403775,169046967.27780753,372684325,7079756,27546334
Hillsborough Area Regional Transit Authority,Motor Bus,C Natural Gas,FL,1371713,165771516.04999998,365463199.7141509,12574593,53491817
New Jersey Transit Corporation,Motor Bus,C Natural Gas,NJ,1366430,165133065.5,364055658.86261,198590133,2314384007
Greater Richmond Transit Company,Motor Bus,C Natural Gas,VA,1331164,160871169.4,354659797.482628,9723640,48410504
Spokane Transit Authority,Motor Bus,Electric Battery,WA,1202138,159222131.7052372,351024296,9403739,46318134
MTA Long Island Rail Road,Commuter Rail,Diesel Fuel,NY,7085033,159058990.85,350664632.40772694,83835706,2033685836
King County,Motor Bus,Diesel Fuel,WA,7049403,158259097.35,348901171.199757,78886848,301530502
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",Commuter Rail,Diesel Fuel,NY,6998370,157113406.5,346375358.23802996,66645285,1150894931
"Montgomery County, Maryland",Motor Bus,C Natural Gas,MD,1268686,153320703.1,338013888.468322,14372995,58141297
Chattanooga Area Regional Transportation Authority,Motor Bus,Electric Battery,TN,469720,152339087.9153777,335849799.99999994,1736039,5747254
MTA New York City Transit,Motor Bus,Electric Battery,NY,638087,151083367.65519682,333081414,2632003044,9591253658
Metropolitan Atlanta Rapid Transit Authority,Streetcar,Electric Propulsion,GA,440489,146455369.6328619,322878437,62093037,352115956
Lane Transit District,Motor Bus,Electric Battery,OR,920696,143661685.00693998,316719424,6311613,22779952
Pittsburgh Regional Transit,Motor Bus,Diesel Fuel,PA,6385126,143346078.7,316023632.02359396,37908532,155119545
Broward County Board of County Commissioners,Motor Bus,Electric Battery,FL,397683,143226634.06845626,315760302,23209964,119090315
Maryland Transit Administration,Motor Bus,Diesel Fuel,MD,6345423,142454746.35,314058582.898137,57907024,343206699
City of Everett,Motor Bus,Electric Battery,WA,1043955,138270931.0448059,304834860,1404970,5193721
Metro Transit,Motor Bus,Electric Battery,MN,370872,134748152.51607987,297068472,44977111,175173901
Regional Transit Service,Motor Bus,Electric Battery,NY,558979,132352531.50202757,291787038,9162408,27087937
METRO Regional Transit Authority,Motor Bus,C Natural Gas,OH,1053705,127340249.25,280736860.30153495,4324674,18176923
Pierce County Transportation Benefit Area Authority,Motor Bus,C Natural Gas,WA,1036567,125269121.94999999,276170811.63340896,6792245,40362320
Interurban Transit Partnership,Motor Bus,C Natural Gas,MI,990758,119733104.3,263965996.40186596,6042030,27512044
Pinellas Suncoast Transit Authority,Motor Bus,Electric Battery,FL,328743,118397702.09832081,261021942,10210124,54152172
Niagara Frontier Transportation Authority,Motor Bus,C Natural Gas,NY,968439,117035853.14999999,258019582.57155296,14531216,46252415
Chicago Transit Authority,Motor Bus,Electric Battery,IL,479980,113647503.87821938,250549560,279146501,1090677628
City of Asheville,Motor Bus,Electric Battery,NC,380763,110362582.66730775,243307557,1377810,5005600
City of Raleigh,Motor Bus,C Natural Gas,NC,909666,109933136.1,242360790.50878197,5338054,24490026
New York City Department of Transportation,Ferry Boat,Diesel Fuel,NY,4873850,109417932.5,241224962.34814999,14715363,76519888
Massachusetts Bay Transportation Authority,Motor Bus,Diesel Fuel,MA,4844815,108766096.75,239787912.216985,234975556,1103417623
Lehigh and Northampton Transportation Authority,Motor Bus,C Natural Gas,PA,899658,108723669.3,239694375.81216598,3897096,19797124
Metro Transit,Motor Bus,Bio-Diesel,MN,4548304,102109424.8,225112480.102576,44977111,175173901
Pittsburgh Regional Transit,Motor Bus,Electric Battery,PA,333421,99060497.954296,218390755,37908532,155119545
Tri-County Metropolitan Transportation District of Oregon,Motor Bus,Electric Battery,OR,597269,93195442.298446,205460536,57442650,231430380
Duluth Transit Authority,Motor Bus,Electric Battery,MN,251487,91372248.73220782,201441087,2160263,9955251
New York City Economic Development Corporation,Ferry Boat,Diesel Fuel,NY,4010558,90037027.1,198497430.68520197,6687168,33504383
Broward County Board of County Commissioners,Motor Bus,Diesel Fuel,FL,3978503,89317392.35,196910909.52265698,23209964,119090315
Central New York Regional Transportation Authority,Motor Bus,C Natural Gas,NY,723405,87423494.25,192735583.89343497,6685285,21264729
MTA New York City Transit,Commuter Bus,Diesel Fuel,NY,3852142,86480587.89999999,190656833.69609797,2632003044,9591253658
Mass Transportation Authority,Motor Bus,C Natural Gas,MI,714340,86327989,190320411.10917997,2913347,43975174
Central Puget Sound Regional Transit Authority,Streetcar,Electric Propulsion,WA,641116,84915256.14391597,187205872,37571636,346306031
Maryland Transit Administration,Commuter Rail,Diesel Fuel,MD,3765982,84546295.89999999,186392454.86705795,57907024,343206699
Massachusetts Bay Transportation Authority,Rapid Bus,Electric Battery,MA,196542,82285503.17061445,181408266.00000003,234975556,1103417623
"Arlington County, Virginia",Motor Bus,C Natural Gas,VA,649430,78483615.5,173026548.40361,2097034,5273946
"Woods Hole, Martha's Vineyard and Nantucket Steamship Authority",Ferry Boat,Diesel Fuel,MA,3408775,76526998.75,168712951.98422498,3860264,40644147
MTA New York City Transit,Demand Response,Gasoline,NY,3823315,71610689.95,157874359.277569,2632003044,9591253658
Town of Chapel Hill,Motor Bus,Electric Battery,NC,245930,71281794.5949869,157149270,3722063,6498337
Milwaukee County,Motor Bus,Diesel Fuel,WI,3069396,68907940.2,151915823.12372398,22735042,75456856
City of La Crosse,Motor Bus,Electric Battery,WI,130800,68110785.53220056,150158399.99999997,685372,2005024
"City of Racine, Wisconsin",Motor Bus,Electric Battery,WI,129378,67370315.0656349,148525944,1037031,4186567
City of Seattle,Monorail / Automated Guideway,Electric Propulsion,WA,505636,66971048.07177655,147645712,2134977,1921479
Bloomington-Normal Public Transit System,Motor Bus,Electric Battery,IL,281082,66553330.732733995,146724804,2125519,5027621
"SeaStreak, LLC",Ferry Boat,Diesel Fuel,NJ,2956636,66376478.199999996,146334911.36928397,1192351,23566982
Valley Regional Transit,Motor Bus,Electric Battery,ID,375953,63095957.57999112,139102610,1096198,4478664
Birmingham-Jefferson County Transit Authority,Motor Bus,C Natural Gas,AL,513509,62057562.65,136813343.76944298,1795762,9332038
South Florida Regional Transportation Authority,Commuter Rail,Diesel Fuel,FL,2757884,61914495.8,136497935.73059598,4122066,106697798
Centre Area Transportation Authority,Motor Bus,C Natural Gas,PA,506163,61169798.55,134856161.279301,4823095,11988843
Rock Island County Metropolitan Mass Transit District,Motor Bus,C Natural Gas,IL,503129,60803139.65,134047817.73518299,1927164,9497862
Southwest Ohio Regional Transit Authority,Motor Bus,Diesel Fuel,OH,2703468,60692856.6,133804685.517492,13083835,70844918
Gary Public Transportation Corporation,Motor Bus,Electric Battery,IN,89180,60555769.24821512,133502460,460489,944846
Rock Island County Metropolitan Mass Transit District,Motor Bus,Electric Battery,IL,254793,60328739.646741845,133001946,1927164,9497862
